Name,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2015_exists,2016_exists,2017_exists,2018_exists,2019_exists,2020_exists,2021_exists,2022_exists,2023_exists,2024_exists,2025_exists,Number of changes,Frequent changer
1200 Riverside Drive Association,firstservice residential nevada,firstservice residential nevada,kenyon associate,kenyon associate,kenyon associate,kenyon associate,kenyon associate,,kenyon associate,kenyon associate,kenyon associate,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
"14Th Street Duplex Homeowners Association, Inc",,,,,,,14th street duplex homeowner association,,14th street duplex homeowner association,14th street duplex homeowner association,14th street duplex homeowner association,,,,,,,1.0,1.0,1.0,1.0,1.0,3,True
317 Quaking Aspen Homeowners Association,,,,,,,minding your business,,,,western nevada management,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
344 Quaking Aspen Lane Association,,,,,,,344 quaking aspen lane association,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
"348 Homeowners Association, The",,,,,allison mackenzie,348 investor,magnify asset investment,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,True
360 Galaxy Homeowners Association,,,,,,,kamehame group,,,kamehame group,kamehame group,,,,,,,1.0,1.0,1.0,1.0,1.0,3,True
"389 Cottonwood Homeowners Association, A Nevada Corporation",,,,,,gian propertie,gian propertie,,gian propertie,gian propertie,gian propertie,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
391 Willow Court Homeowners Association,swiss time management,,,,,,,,attn eric stick,attn eric stick,attn eric stick,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
"428 Quaking Aspen Hoa, Llc",,,,,,,,,428 quaking aspen hoa,428 quaking aspen hoa,428 quaking aspen hoa,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
"5 Ridges Landscape Maintenance (Limited Purpose) Association, Inc.",,,,,,,,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,,,,,,,,1.0,1.0,1.0,1.0,1,False
609 Lariat Circle Homeowners Association,incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1,False
685 Palmer Court Homeowners Association,,,,,,685 palmer court homeowner association,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
701 Hogan Court Community Association,,,,,,maverick spring,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2,True
999 Lakeshore Association,incline property management,incline property management,ponderosa property management,ponderosa property management,ponderosa property management,faab the reserve hoa,infinity association management,infinity association management,the management trust,incline property management,incline property management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,True
Aberdeen @ Southern Highlands Homeowners Association,colonial property management,colonial property management,,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial community management,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Acacia Landing Homeowners Association,,,,,,,,,seabreeze management,seabreeze management,the association management group,,,,,,,,1.0,1.0,1.0,1.0,2,True
Acadia At Skye Canyon Homeowners Association,,,,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Acadia Homeowners Association,,,community management group,community management group,community management group,community management group,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Acadia Ridge Unit Owners Association,,,,,,,the management trust,the management trust,the management trust,the management trust,the management trust,,,,,,,1.0,1.0,1.0,1.0,1.0,1,False
Adagio Homeowners' Association,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,pinnacle community association management,pinnacle community association management,pinnacle community association management,pinnacle community association management,pinnacle community association management,terra west management service,pinnacle community association management,pinnacle community association management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Adalyn Manor Homeowners Association,,,,,,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial community management,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Aden Square Homeowners Association,,,,,,,rooftop association management,rooftop association management,westward360,westward360,westward360,,,,,,,1.0,1.0,1.0,1.0,1.0,2,True
Adhara Cove Homeowners Association,camco,camco,camco,camco,camco,firstservice residential nevada,shelter management group,shelter management group,las vega community management group,las vega community management group,las vega community management group,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Adiamo Homeowners' Association,ovation property management,ovation property management,ovation property management,ovation property management,ovation property management,ovation property management,ovation property management,ovation property management,ovation property management,ovation property management,ovation property management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Admiral'S Point Homeowners Association,nevada community management,nevada community management,,nevada community management,nevada community management,nevada community management,nevada community management,nevada community management,nevada community management,nevada community management,associa,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Admiral'S Point Ii Owners Association,mesa management,mesa management,mesa management,sierra community management,sierra community management,sierra community management,nevada community management,nevada community management,nevada community management,nevada community management,nevada community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Adobe Ranch Community Association,,,,,,,seabreeze management,seabreeze management,seabreeze management,seabreeze management,seabreeze management,,,,,,,1.0,1.0,1.0,1.0,1.0,1,False
Affinity Homeowners Association,,,,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,allied association advisor,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Agave Moon Homeowners Association,,,,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Ahey Estates Homeowners Association Inc,performance cam,performance cam,performance cam,performance cam,performance cam,performance cam,performance cam,performance cam,performance cam,performance cam,performance cam,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Airpark Estates Homeowners Association,associa,associa,associa,camco,camco,camco,camco,camco,anchor management and consulting,anchor management and consulting,anchor management and consulting,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Alamo Square Homeowner'S Association,,,,associa,associa,associa,associa,associa,associa,associa,associa,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Alder East Homeowners Association,,,,,camco,camco,camco,camco,camco,camco,camco,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Alder Landing Homeowners Association,,,,,camco,camco,camco,camco,camco,camco,camco,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Aldervista At North Ranch Community Association,,,,,,,seabreeze management,seabreeze management,seabreeze management,seabreeze management,seabreeze management,,,,,,,1.0,1.0,1.0,1.0,1.0,1,False
Alexander Grand Canyon Homeowners Association,,,,camco,camco,camco,rooftop association management,rooftop association management,westward360,westward360,westward360,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Alexander Park Homeowners' Association,prime community management,prime community management,soleil association management,soleil association management,community management group,community management group,community management group,community management group,nicklin community management service,nicklin community management service,nicklin community management service,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Alexander Station Community Association,adept management service,adept management service,adept management service,adept management service,adept management service,adept management service,adept management service,adept management service,adept management service,adept management service,the association management group,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Alexis Heights Unit Owners Association,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,nevada community management,nevada community management,nevada community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Aliante Cove Homeowners Association,nicklin community management service,nicklin community management service,,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Aliante Master Association,,,,,,,,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,,,,,,,,1.0,1.0,1.0,1.0,1,False
Allegra Homeowners Association,,terra west management service,,terra west management service,terra west management,terra west management,terra west management,terra west management service,terra west management service,epic association management,associa,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,True
Allegro Homeowners Association,desert living,desert living,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Allen Manor Homeowners Association,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,las vega valley community management,associa,associa,associa,terra west management service,terra west management service,terra west management service,terra west management service,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Allen Manor Ii Homeowners Association,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Allerton Park Homeowner'S Association,thoroughbred management,thoroughbred management,,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,on the ball,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
"Allure Homeowners' Association, Inc.",firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Allure I Townhomes Homeowners Association,nevada finest propertie,the management trust,the management trust,the management trust,the management trust,the management trust,the management trust,rooftop association management,westward360,westward360,westward360,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Alondra Homeowners' Association,level property management,level property management,level property management,associa,associa,associa,nevada community management,nevada community management,nevada community management,prestige management group,prestige management group,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Alpha & Omega Pointe Homeowners Association,,,,,,thoroughbred management,thoroughbred management,thoroughbred management,seabreeze management,seabreeze management,firstservice residential nevada,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,3,True
