Name,SOS#,Assn Type,# of Units,Telephone,Address1,Address2,City,State,Zip Code,County,Firm_Normalized,Firm_Final,Firm_ByPhone,Firm_ByAddress,Address2_Normalized,Name_Changed_Flag
1200 RIVERSIDE DRIVE ASSOCIATION,283-1972,REG,100,(775) 674-8000,C/O KENYON & ASSOCIATES,645 SIERRA ROSE DR STE 104,RENO,NV,89503,Washoe,kenyon associate,kenyon associate,kenyon associate,kenyon associate,645 sierra rose dr,False
317 QUAKING ASPEN HOMEOWNERS ASSOCIATION,0100782019-8,SUB,8,(775) 901-1193,,PO BOX 456,ZEPHYR COVE,NV,89448,Douglas,,,,,,
"338 MILKY WAY COURT HOMEOWNERS ASSOCIATION INC, THE",0208852006-1,SUB,4,(412) 941-6509,,429 S SIERRA AVE UNIT 121,SOLANA BEACH,CA,92075,,,,,,,
344 QUAKING ASPEN LANE ASSOCIATION,10679-1991,SUB,4,(775) 230-3620,,PO BOX 5486,STATELINE,NV,89449,Douglas,,,,,,
"348 HOMEOWNERS ASSOCIATION, THE",0210052019-4,SUB,4,(702) 687-0202,C/O ALLISON MACKENZIE LTD,402 N DIVISION ST,CARSON CITY,NV,89703,Carson City,ponderosa property management,ponderosa property management,ponderosa property management,ponderosa property management,po box 5905,False
"389 COTTONWOOD HOMEOWNERS ASSOCIATION, A NEVADA CORPORATION",30976-2003,REG,2,(716) 861-5230,GIAN PROPERTIES,4221 TRANSIT ROAD,WILLIAMSVILLE,NY,14221,,,,,,,
391 WILLOW COURT HOMEOWNERS ASSOCIATION,5719-1978,REG,4,(775) 721-1197,,PO BOX 4738,INCLINE VILLAGE,NV,89450,Washoe,,,,,,
"428 QUAKING ASPEN HOA, LLC",0617562006-1,SUB,4,(619) 548-7184,,PO BOX 3712,STATELINE,NV,89449,Douglas,,,,,,
608 LARIAT CIRCLE HOMEOWNERS ASSOCIATION,7644-1984,REG,4,(775) 882-7846,,908 SARATOGA WAY,CARSON CITY,NV,89703,Washoe,,,,,,
609 LARIAT CIRCLE HOMEOWNERS ASSOCIATION,3992-1986,REG,4,(775) 832-0284,C/O INCLINE PROPERTY MANAGEMENT,848 TANAGER ST STE M,INCLINE VILLAGE,NV,89451,Washoe,ovation property management,ovation property management,ovation property management,ovation property management,6021 s ft apache rd,False
