Name,SOS#,Assn Type,# of Units,Telephone,Address1,Address2,City,State,Zip Code,County,Address1_clean,Address2_Normalized,Firm_Normalized,Phone_Normalized,Firm_ByPhone,Firm_ByAddress,Firm_Final,Name_Changed_Flag
1200 Riverside Drive Association,283-1972,REG,100,(775) 674-8000,Kenyon & Associates,645 Sierra Rose Dr Ste 104,Reno,NV,89503,Washoe,KENYON & ASSOCIATES,645 sierra rose dr,kenyon associate,7756748000,kenyon associate,kenyon associate,kenyon associate,False
"348 Homeowners Association, The",0210052019-4,SUB,4,(702) 687-0202,Allison Mackenzie Ltd,402 N Division St,Carson City,NV,89703,Carson City,ALLISON MACKENZIE LTD,402 n division st,allison mackenzie,7026870202,allison mackenzie,allison mckenzie,allison mackenzie,False
"389 Cottonwood Homeowners Association, A Nevada Corporation",30976-2003,REG,2,(716) 861-5230,Gian Properties,4221 Transit Road,Williamsville,NY,14221,,GIAN PROPERTIES,4221 transit rd,gian propertie,7168615230,gian propertie,gian propertie,gian propertie,False
609 Lariat Circle Homeowners Association,3992-1986,REG,4,(775) 832-0284,Incline Property Management,848 Tanager St Ste M,Incline Village,NV,89451,Washoe,INCLINE PROPERTY MANAGEMENT,848 tanager st,incline property management,7758320284,incline property management,incline property management,incline property management,False
685 Palmer Court Homeowners Association,0386602018-1,REG,4,(760) 213-0099,685 Palmer Court Homeowner Association,685 Palmer Court Unit 4,Incline Village,NV,89451,Washoe,685 PALMER COURT HOMEOWNER ASSOCIATION,685 palmer court,685 palmer court homeowner association,7602130099,685 palmer court homeowner association,685 palmer court homeowner association,685 palmer court homeowner association,False
701 Hogan Court Community Association,2504392019-1,REG,4,(775) 830-7113,Maverick Springs Llc,6770 S Mccarran #202,Reno,NV,89509,Washoe,MAVERICK SPRINGS LLC,6770 s mccarran 202,maverick spring,7758307113,maverick spring,maverick spring,maverick spring,False
999 Lakeshore Association,1270-1967,REG,60,(775) 413-5136,Ponderosa Property Management,Po Box 5905,Incline Village,NV,89450,Washoe,PONDEROSA PROPERTY MANAGEMENT,po box 5905,ponderosa property management,7754135136,ponderosa property management,ponderosa property management,ponderosa property management,False
Aberdeen @ Southern Highlands Homeowners Association,11900-2001,SUB,88,(702) 458-2580,Colonial Property Management,8595 S Eastern Ave,Las Vegas,NV,89123,Clark,COLONIAL PROPERTY MANAGEMENT,8595 s eastern ave,colonial property management,7024582580,colonial property management,colonial property management,colonial property management,False
Acadia At Skye Canyon Homeowners Association,0591702017-1,SUB,96,(702) 515-2042,Thoroughbred Management,2555 W. Cheyenne Ave.,N. Las Vegas,NV,89032,Clark,THOROUGHBRED MANAGEMENT,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,False
Acadia Homeowners Association,0500242015-4,REG,56,(702) 942-2500,Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark,COMMUNITY MANAGEMENT GROUP,2450 box canyon dr,community management group,7029422500,community management group,community management group,community management group,False
Adagio Homeowners' Association,0667642005-0,REG,282,(702) 405-3300,Pinnacle Community Association Management,9330 W. Sahara Ave Ste 210,Las Vegas,NV,89117,Clark,PINNACLE COMMUNITY ASSOCIATION MANAGEMENT,9330 w sahara ave,pinnacle community association management,7024053300,pinnacle community association management,pinnacle community association management,pinnacle community association management,False
Adhara Cove Homeowners Association,0278802014-0,REG,201,(702) 737-8580,Firstservice Residential Nevada Llc,8290 Arville Street,Las Vegas,NV,89140,Clark,FIRSTSERVICE RESIDENTIAL NEVADA LLC,8290 arville st,firstservice residential nevada,7027378580,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,False
Adiamo Homeowners' Association,0145332007-4,REG,278,(702) 990-2790,Ovation Property Management,6021 S Fort Apache Rd Ste 100,Las Vegas,NV,89148,Clark,OVATION PROPERTY MANAGEMENT,6021 s ft apache rd,ovation property management,7029902790,ovation property management,ovation property management,ovation property management,False
Admiral'S Point Homeowners Association,7506-1987,SUB,132,(702) 222-2391,"Nevada Community Management, Llc",9500 W Flamingo Rd Ste 204,Las Vegas,NV,89147,Clark,"NEVADA COMMUNITY MANAGEMENT, LLC",9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,False
Admiral'S Point Ii Owners Association,10995-1992,REG,132,(702) 754-6313,Sierra Community Management,6280 S Valley View Blvd Ste 310,Las Vegas,NV,89118,Clark,SIERRA COMMUNITY MANAGEMENT,6280 s valley view blvd,sierra community management,7027546313,sierra community management,sierra community management,sierra community management,False
Affinity Homeowners Association,0240662017-1,SUB,485,(702) 856-3716,Terra West Management Services,6655 S. Cimarron #200,Las Vegas,NV,89113,Clark,TERRA WEST MANAGEMENT SERVICES,6655 s cimarron 200,terra west management service,7028563716,terra west management service,terra west management service,terra west management service,False
Agave Moon Homeowners Association,0254462018-4,REG,104,(702) 515-2042,Thoroughbred Management,2555 W. Cheyenne Ave.,N Las Vegas,NV,89032,Clark,THOROUGHBRED MANAGEMENT,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,False
Ahey Estates Homeowners Association Inc,13019-1998,REG,32,(702) 362-0318,"Performance Cam, Llc",5135 Camino Al Norte Ste 100,N Las Vegas,NV,89031,Clark,"PERFORMANCE CAM, LLC",5135 camino al norte,performance cam,7023620318,performance cam,performance cam,performance cam,False
Airpark Estates Homeowners Association,887-1991,REG,136,(702) 531-3382,Camco,Po Box 400518,Las Vegas,NV,89140,Lyon,CAMCO,po box 400518,camco,7025313382,camco,camco,camco,False
Alamo Square Homeowner'S Association,0373742016-0,REG,38,(775) 626-7333,Associa Sierra North,10509 Professional Ct,Reno,NV,89521,Washoe,ASSOCIA SIERRA NORTH,10509 professional ct,associa,7756267333,associa,associa,associa,False
Alder East Homeowners Association,0183112019-8,REG,38,(702) 531-3382,Camco,Po Box 400518,Las Vegas,NV,89140,Clark,CAMCO,po box 400518,camco,7025313382,camco,camco,camco,False
Alder Landing Homeowners Association,0574162017-4,REG,38,(702) 531-3382,Camco,Po Box 400518,Las Vegas,NV,89140,Clark,CAMCO,po box 400518,camco,7025313382,camco,camco,camco,False
Alexander Grand Canyon Homeowners Association,0398932017-3,REG,18,(702) 531-3382,Camco,P O Box 400518,Las Vegas,NV,89140,Clark,CAMCO,p o box 400518,camco,7025313382,camco,camco,camco,False
Alexander Park Homeowners' Association,26381-2003,REG,185,(702) 942-2500,Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark,COMMUNITY MANAGEMENT GROUP,2450 box canyon dr,community management group,7029422500,community management group,community management group,community management group,False
Alexander Station Community Association,19615-1998,REG,93,(702) 645-1210,Adept Management Services Inc,5550 Painted Mirage Rd Ste 320,Las Vegas,NV,89149,Clark,ADEPT MANAGEMENT SERVICES INC,5550 painted mirage rd,adept management service,7026451210,adept management service,adept management service,adept management service,False
Alexis Heights Unit Owners Association,0037492005-9,REG,256,(702) 373-8580,"Firstservice Residential, Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark,"FIRSTSERVICE RESIDENTIAL, NEVADA, LLC",8290 arville st,firstservice residential nevada,7023738580,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,False
Aliante Cove Homeowners Association,17454-2004,SUB,155,(702) 851-7660,Nicklin Property Management,375 N Stephanie St Ste 911B,Henderson,NV,89014,Clark,NICKLIN PROPERTY MANAGEMENT,375 n stephanie st,nicklin community management service,7028517660,nicklin community management service,nicklin community management service,nicklin community management service,False
Allegra Homeowners Association,0328012015-7,SUB,88,(702) 880-4646,Terra West Management,Po Box 80900,Las Vegas,NV,89180,Clark,TERRA WEST MANAGEMENT,po box 80900,terra west management,7028804646,terra west management,terra west management service,terra west management,False
Allegro Homeowners Association,1392-1992,REG,147,(702) 736-9450,Taylor Association Management,259 N Pecos Rd Ste 100,Henderson,NV,89074,Clark,TAYLOR ASSOCIATION MANAGEMENT,259 n peco rd,taylor association management,7027369450,taylor association management,taylor association management,taylor association management,False
Allen Manor Homeowners Association,12891-2004,REG,147,(702) 795-3344,Associa Nevada South,7670 W. Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark,ASSOCIA NEVADA SOUTH,7670 w lake mead blvd,associa,7027953344,associa,associa,associa,False
Allen Manor Ii Homeowners Association,0052322006-0,REG,60,(702) 851-7660,Nicklin Property Management,375 N Stephanie St Ste 911,Henderson,NV,89014,Clark,NICKLIN PROPERTY MANAGEMENT,375 n stephanie st,nicklin community management service,7028517660,nicklin community management service,nicklin community management service,nicklin community management service,False
