Name,SOS#,Assn Type,# of Units,Telephone,Address1,Address2,City,State,Zip Code,County,Address2_Normalized,Firm_Normalized,Phone_Normalized,Firm_ByPhone,Firm_ByAddress,Firm_Canonical,Firm_Final
Alpian Meadow @ Mountain'S Edge,SAME AS MASTER,SAM,84.0,, Capital Consultants Management Corporation,"8090 Blue Diamond Road, Suite 240",Las Vegas,NV,89178,Clark,8090 blue diamond rd,capital consultant management corporation,,olympia management service,capital consultant management corporation,olympia management service,olympia management service
Aspire @ Mountain'S Edge,SAME AS MASTER,SAM,59.0,, Capital Consultants Management Corporation,8090 Blue Diamond Rd,Las Vegas,NV,89178,Clark,8090 blue diamond rd,capital consultant management corporation,,olympia management service,capital consultant management corporation,olympia management service,olympia management service
Bella Terra @ Southern Highlands,SAME AS MASTER,SAM,705.0,, Olympia Management Services,11411 Southern Highlands Pkwy Ste 120,Las Vegas,NV,89141,Clark,11411 southern highland pkwy,olympia management service,,olympia management service,olympia management service,olympia management service,olympia management service
Brasado I & Ii @ Southern Highlands,SAME AS MASTER,SAM,224.0,, Olympia Management Services,11411 Southern Highlands Pkwy Ste 120,Las Vegas,NV,89141,Clark,11411 southern highland pkwy,olympia management service,,olympia management service,olympia management service,olympia management service,olympia management service
Carriage Club @ Green Valley Ranch,SAME AS MASTER,SAM,96.0,, Terra West Management Services,Po Box 80900,Las Vegas,NV,89180,Clark,po box 80900,terra west management service,,olympia management service,terra west management service,olympia management service,olympia management service
Castellina Ii @ Southern Highlands,SAME AS MASTER,SAM,30.0,, Olympia Management Services,11411 Southern Highlands Ste 300,Las Vegas,NV,89141,Clark,11411 southern highland,olympia management service,,olympia management service,olympia management service,olympia management service,olympia management service
Cattera,,SAM,,, Capital Consultants Management Corporation,8090 Blue Diamond Rd,Las Vegas,NV,89178,Clark,8090 blue diamond rd,capital consultant management corporation,,olympia management service,capital consultant management corporation,olympia management service,olympia management service
Cortona Hills @ Southern Highlands,SAME AS MASTER,SAM,119.0,, Olympia Management Services,11411 Southern Highlands Pkwy Ste 120,Las Vegas,NV,89141,Clark,11411 southern highland pkwy,olympia management service,,olympia management service,olympia management service,olympia management service,olympia management service
Glenhaven @ Southern Highlands,SAME AS MASTER,SAM,116.0,, Olympia Management Services,11411 Southern Highlands Pkwy Ste 120,Las Vegas,NV,89141,Clark,11411 southern highland pkwy,olympia management service,,olympia management service,olympia management service,olympia management service,olympia management service
Heathercrest @ Southern Highlands,SAME AS MASTER,SAM,39.0,, Olympia Management Services,11411 Southern Highlands Pkwy Ste 120,Las Vegas,NV,89141,Clark,11411 southern highland pkwy,olympia management service,,olympia management service,olympia management service,olympia management service,olympia management service
