file_name,year,month,num_associations,num_firms,total_units,HHI_association_weighted,HHI_unit_weighted
NRED HOA - 06 2015_subset.csv,2015,6,2073,78,513523,559.2148052895184,799.4045118059394
NRED HOA - 07 2015_subset.csv,2015,7,2072,76,513588,560.0086089950954,797.1550615219307
NRED HOA - 08 2015_subset.csv,2015,8,2086,80,515938,546.702713336134,784.8375726005409
NRED HOA - 09 2015_subset.csv,2015,9,2086,80,517267,550.1314980295979,787.4159311474336
NRED HOA - 10 2015_subset.csv,2015,10,2086,80,521418,547.6909019542234,801.3943021154863
NRED HOA - 11 2015_subset.csv,2015,11,2084,80,521227,544.1606094878813,797.8063865223198
NRED HOA - 12 2015_subset.csv,2015,12,2087,81,521986,552.3572235912231,804.372516885578
NRED HOA - 01 2016_subset.csv,2016,1,2090,82,522289,554.8728280030219,813.5629812097867
NRED HOA - 02 2016_subset.csv,2016,2,2113,82,534211,552.5459435863312,810.7847397688113
NRED HOA - 03 2016_subset.csv,2016,3,2132,80,536005,544.1868569356786,783.6802992871596
NRED HOA - 04 2016_subset.csv,2016,4,2143,81,536835,548.7464313702777,783.8362562308174
NRED HOA - 05 2016_subset.csv,2016,5,2145,84,525881,547.2976130318785,756.6937173717653
NRED HOA - 06 2016_subset.csv,2016,6,2145,84,532840,547.6279742014007,799.1635091451408
NRED HOA - 07 2016_subset.csv,2016,7,2150,84,533455,549.7501352082209,805.4156384151688
NRED HOA - 08 2016_subset.csv,2016,8,2156,84,533388,550.5023733224103,800.5588799406155
NRED HOA - 09 2016_subset.csv,2016,9,2162,85,526698,545.3587788741881,777.4978137796124
NRED HOA - 10 2016_subset.csv,2016,10,2171,85,536662,545.0580608969494,813.9457959866323
NRED HOA - 11 2016_subset.csv,2016,11,2146,85,532604,540.3147145603037,804.1356590689512
NRED HOA - 12 2016_subset.csv,2016,12,2178,84,537315,549.9270187474542,810.8921065740617
NRED HOA - 01 2017_subset.csv,2017,1,2189,81,538604,542.0035932809944,808.8686034980988
NRED HOA - 02 2017_subset.csv,2017,2,2193,81,537465,542.9766684985535,817.4299511019872
NRED HOA - 03 2017_subset.csv,2017,3,2205,82,541102,545.4208894442131,809.6816154593703
NRED HOA - 04 2017_subset.csv,2017,4,2146,79,534158,546.9201244822289,821.9984612327572
NRED HOA - 05 2017_subset.csv,2017,5,2212,79,559526,547.809253488288,794.9346521217492
NRED HOA - 06 2017_subset.csv,2017,6,1624,75,464614,566.3735470406948,855.747173441629
NRED HOA - 07 2017_subset.csv,2017,7,2223,82,563204,548.6440069862188,796.7957985747195
NRED HOA - 08 2017_subset.csv,2017,8,2223,82,563508,549.2065631280063,800.5183448779436
NRED HOA - 09 2017_subset.csv,2017,9,2229,81,564857,554.2120757799075,799.7542873870262
NRED HOA - 10 2017_subset.csv,2017,10,2232,83,565154,549.6099420613815,788.2203519803103
NRED HOA - 11 2017_subset.csv,2017,11,2230,82,568073,552.5789780610911,785.5281935686247
NRED HOA - 12 2017_subset.csv,2017,12,2235,79,569037,554.4675164782368,787.3679966247554
NRED HOA - 01 2018_subset.csv,2018,1,2234,78,570167,554.6374136503571,785.0936933738918
NRED HOA - 02 2018_subset.csv,2018,2,2248,77,569764,554.2293030736694,782.0701089687292
NRED HOA - 03 2018_subset.csv,2018,3,2185,75,558950,559.5023276029095,784.112376885593
NRED HOA - 04 2018_subset.csv,2018,4,2262,78,572569,555.4578352529508,787.2341049530454
NRED HOA - 05 2018_subset.csv,2018,5,2281,79,575657,558.2494275855618,787.7031190838941
NRED HOA - 06 2018_subset.csv,2018,6,2288,79,576775,556.5675583158098,774.0496431779386
NRED HOA - 07 2018_subset.csv,2018,7,2293,78,577144,557.884032044283,775.2162901486
NRED HOA - 08 2018_subset.csv,2018,8,2300,78,578226,559.6521739130433,777.5463328423701
NRED HOA - 09 2018_subset.csv,2018,9,2307,79,579597,556.3756975669498,845.04340653696
