file_name,year,month,num_associations,num_firms,total_units,HHI_association_weighted,HHI_unit_weighted
NRED HOA - 06 2015_subset.csv,2015,6,266,26,221202,2270.054836338967,6726.9218746958395
NRED HOA - 07 2015_subset.csv,2015,7,262,23,220669,2312.802284249171,6759.226895345814
NRED HOA - 08 2015_subset.csv,2015,8,265,25,221470,2356.5681737273053,6711.203988829047
NRED HOA - 09 2015_subset.csv,2015,9,264,25,220120,2347.623966942149,6785.072716849241
NRED HOA - 10 2015_subset.csv,2015,10,264,27,220114,2322.371441689623,6783.640241844638
NRED HOA - 11 2015_subset.csv,2015,11,261,26,219447,2303.4013006268256,6820.642975304617
NRED HOA - 12 2015_subset.csv,2015,12,258,25,219280,2311.1591851451235,6829.325721614741
NRED HOA - 01 2016_subset.csv,2016,1,259,25,219741,2314.3662139801136,6803.596284515311
NRED HOA - 02 2016_subset.csv,2016,2,258,25,220010,2309.055946157082,6788.453197253859
NRED HOA - 03 2016_subset.csv,2016,3,257,25,220540,2298.14228830111,6759.182491372631
NRED HOA - 04 2016_subset.csv,2016,4,259,26,221055,2287.2348354973838,6730.463654693838
NRED HOA - 05 2016_subset.csv,2016,5,258,27,220875,2275.4041223484164,6740.190059075249
NRED HOA - 06 2016_subset.csv,2016,6,257,27,220909,2264.2280730972457,6738.332169004996
NRED HOA - 07 2016_subset.csv,2016,7,252,26,220431,2250.2519526329056,6765.330228326275
NRED HOA - 08 2016_subset.csv,2016,8,251,26,220327,2242.6628148759546,6771.089035821207
NRED HOA - 09 2016_subset.csv,2016,9,248,26,220166,2220.6685744016645,6780.0284287830245
NRED HOA - 10 2016_subset.csv,2016,10,245,26,220036,2199.9167013744277,6787.2681928827515
NRED HOA - 11 2016_subset.csv,2016,11,242,26,219107,2156.2734785875286,6839.797054531928
NRED HOA - 12 2016_subset.csv,2016,12,241,23,218824,2183.3301768220235,6857.991227760665
NRED HOA - 01 2017_subset.csv,2017,1,240,23,218572,2194.097222222224,6872.554083458523
