year,month,HHI_Total_assoc,HHI_Total_units,num_associations_Total,total_units_Total,HHI_LV_assoc,HHI_LV_units,num_associations_LV,total_units_LV,HHI_Reno_assoc,HHI_Reno_units,num_associations_Reno,total_units_Reno,HHI_Other_assoc,HHI_Other_units,num_associations_Other,total_units_Other
2015,6,412.09030192148185,882.8790975032858,2689,812186,559.2148052895184,799.4045118059394,2073,513523,959.0204081632652,1378.931225290737,350,77461,2270.054836338967,6726.92187469584,266,221202
2015,7,413.8799128539336,883.8792505422234,2683,811446,560.0086089950954,797.1550615219307,2072,513588,957.3813022881584,1381.1738483821812,349,77189,2312.802284249171,6759.226895345814,262,220669
2015,8,405.248001915273,869.9370105083797,2699,814466,546.702713336134,784.8375726005409,2086,515938,940.3487911216808,1328.6002080503615,348,77058,2356.5681737273053,6711.203988829047,265,221470
2015,9,407.6201290914903,872.1582353118163,2699,814607,550.1314980295979,787.4159311474336,2086,517267,932.9151649001238,1329.217302022275,349,77220,2347.623966942149,6785.072716849241,264,220120
2015,10,405.687242798354,875.2704678589781,2700,818768,547.6909019542234,801.3943021154863,2086,521418,931.9183673469388,1328.7993033082423,350,77236,2322.371441689623,6783.640241844638,264,220114
2015,11,404.600945666844,875.2503301875231,2697,818284,544.1606094878813,797.8063865223198,2084,521227,930.0748966942148,1332.13990355904,352,77610,2303.4013006268256,6820.642975304617,261,219447
2015,12,412.243580671062,882.8387745277347,2699,819185,552.3572235912231,804.372516885578,2087,521986,907.306329598774,1322.9780507215528,354,77919,2311.1591851451235,6829.325721614741,258,219280
2016,1,415.2383124656206,887.4927440787417,2701,820523,554.8728280030219,813.5629812097867,2090,522289,926.5237603305784,1340.2819025740785,352,78493,2314.3662139801136,6803.596284515311,259,219741
2016,2,412.3082794801632,872.9189117087496,2724,832731,552.5459435863312,810.7847397688113,2113,534211,931.3131475254596,1320.24505387495,353,78510,2309.055946157082,6788.453197253859,258,220010
2016,3,414.87984445970665,865.6593331262491,2745,835594,544.1868569356786,783.6802992871596,2132,536005,936.4347935866684,1353.234142309736,356,79049,2298.14228830111,6759.182491372631,257,220540
2016,4,417.9561101024109,863.947586418325,2761,837370,548.7464313702777,783.8362562308174,2143,536835,941.8766148617716,1357.5523837758717,359,79480,2287.234835497384,6730.463654693838,259,221055
