file_name,year,month,num_associations,num_firms,total_units,HHI_association_weighted,HHI_unit_weighted
NRED HOA - 06 2015_subset.csv,2015,6,2710,127,815435,406.0402227638512,875.5128534943887
NRED HOA - 07 2015_subset.csv,2015,7,2704,122,814695,407.7894681558768,876.4980473152799
NRED HOA - 08 2015_subset.csv,2015,8,2720,128,817715,399.324178200692,862.694859432286
NRED HOA - 09 2015_subset.csv,2015,9,2720,127,817869,401.69225778546735,864.87000273114
NRED HOA - 10 2015_subset.csv,2015,10,2723,129,822215,401.027468434787,868.2366856945459
NRED HOA - 11 2015_subset.csv,2015,11,2724,127,822251,399.44066016762923,867.3123390750856
NRED HOA - 12 2015_subset.csv,2015,12,2730,127,823379,408.89318251955615,874.8385655207887
NRED HOA - 01 2016_subset.csv,2016,1,2734,128,824892,411.32580113651875,879.1002202467188
NRED HOA - 02 2016_subset.csv,2016,2,2761,129,838027,406.99734400123,862.5950844555545
NRED HOA - 03 2016_subset.csv,2016,3,2782,129,840893,409.3791814587047,855.3903411768435
NRED HOA - 04 2016_subset.csv,2016,4,2797,130,842656,412.46629100667,853.7568687123608
NRED HOA - 05 2016_subset.csv,2016,5,2805,134,836299,412.7147537024856,845.2968066746026
NRED HOA - 06 2016_subset.csv,2016,6,2810,134,843776,412.95323007560694,857.2423276347056
NRED HOA - 07 2016_subset.csv,2016,7,2811,135,843875,414.19710971825,860.7856507498321
NRED HOA - 08 2016_subset.csv,2016,8,2821,136,844732,413.75886351930075,858.6196013029347
NRED HOA - 09 2016_subset.csv,2016,9,2823,138,837865,411.00448983847957,853.9605324882094
NRED HOA - 10 2016_subset.csv,2016,10,2831,139,850202,411.1079820841092,859.7613571878745
NRED HOA - 11 2016_subset.csv,2016,11,2799,139,845744,407.14408159602755,858.0323352699671
NRED HOA - 12 2016_subset.csv,2016,12,2838,136,851164,413.2877027316283,857.1616181386565
NRED HOA - 01 2017_subset.csv,2017,1,2842,126,848842,411.7462947711542,863.540343368085
NRED HOA - 02 2017_subset.csv,2017,2,2848,124,848980,409.78392090645116,865.4843730837168
NRED HOA - 03 2017_subset.csv,2017,3,2858,125,851706,413.0206004678652,861.2877829328283
NRED HOA - 04 2017_subset.csv,2017,4,2784,121,839226,414.91197648302284,877.9062287909147
NRED HOA - 05 2017_subset.csv,2017,5,2866,123,868381,414.2486275796947,842.7157936980084
NRED HOA - 06 2017_subset.csv,2017,6,2188,116,755703,414.48452419546203,966.8360170409533
NRED HOA - 07 2017_subset.csv,2017,7,2878,125,870423,415.46640035040934,844.057345984769
NRED HOA - 08 2017_subset.csv,2017,8,2879,124,870601,415.9487665106982,845.6674335739092
NRED HOA - 09 2017_subset.csv,2017,9,2889,123,872269,418.52571929596286,843.2661872743013
NRED HOA - 10 2017_subset.csv,2017,10,2894,127,873333,415.23128422888624,836.4697361649353
