file_name,year,month,num_associations,num_firms,total_units,HHI_association_weighted,HHI_unit_weighted
NRED HOA - 06 2015_subset.csv,2015,6,2094,81,516772,548.5769593207134,788.5256781047693
NRED HOA - 07 2015_subset.csv,2015,7,2093,79,516837,549.3501077123505,786.3058769487403
NRED HOA - 08 2015_subset.csv,2015,8,2107,83,519187,536.3751222280063,774.1949003079858
NRED HOA - 09 2015_subset.csv,2015,9,2106,82,520507,540.2418270414472,776.7891560315528
NRED HOA - 10 2015_subset.csv,2015,10,2108,82,524843,539.635760039463,791.5056866852657
NRED HOA - 11 2015_subset.csv,2015,11,2109,81,525159,535.3582975803535,786.9047417673405
NRED HOA - 12 2015_subset.csv,2015,12,2116,82,526145,546.0913518748147,793.7238588259572
NRED HOA - 01 2016_subset.csv,2016,1,2119,83,526448,548.5616217324947,802.7847673386144
NRED HOA - 02 2016_subset.csv,2016,2,2147,85,539399,543.4625800149212,796.6113345618201
NRED HOA - 03 2016_subset.csv,2016,3,2165,84,541182,535.6154227714692,769.932765628136
NRED HOA - 04 2016_subset.csv,2016,4,2176,85,542012,540.0787670307092,770.1439170797846
NRED HOA - 05 2016_subset.csv,2016,5,2177,88,531050,539.0615422562984,743.182708176801
NRED HOA - 06 2016_subset.csv,2016,6,2177,88,538009,539.4075828033886,785.1503791066029
NRED HOA - 07 2016_subset.csv,2016,7,2182,88,538624,541.4897826647657,791.3123524999532
NRED HOA - 08 2016_subset.csv,2016,8,2190,88,538897,541.2897979608431,785.8020268265391
NRED HOA - 09 2016_subset.csv,2016,9,2196,90,532389,535.2794118134975,762.2937275083033
NRED HOA - 10 2016_subset.csv,2016,10,2207,91,544755,534.0485816743651,791.5629165669731
NRED HOA - 11 2016_subset.csv,2016,11,2183,91,541112,528.787287096875,780.6787496064776
NRED HOA - 12 2016_subset.csv,2016,12,2216,90,545859,537.9036935187479,787.381795428183
NRED HOA - 01 2017_subset.csv,2017,1,2221,84,543936,533.1349621850777,795.7045899207917
NRED HOA - 02 2017_subset.csv,2017,2,2224,84,542383,535.593557528078,806.1233934690847
NRED HOA - 03 2017_subset.csv,2017,3,2235,84,545813,538.4842524611004,799.1894317710897
NRED HOA - 04 2017_subset.csv,2017,4,2177,81,538878,540.3570843045504,811.1506845297235
NRED HOA - 05 2017_subset.csv,2017,5,2245,82,564333,540.5032713131383,784.744674176836
NRED HOA - 06 2017_subset.csv,2017,6,1638,76,466192,568.5780777355867,853.6952494366406
NRED HOA - 07 2017_subset.csv,2017,7,2252,84,566845,543.4798040186894,791.8742566722851
NRED HOA - 08 2017_subset.csv,2017,8,2253,84,567351,543.7677513968158,795.113934819655
NRED HOA - 09 2017_subset.csv,2017,9,2259,83,568700,548.6900952581392,794.3899048323248
NRED HOA - 10 2017_subset.csv,2017,10,2263,85,569018,543.909017648119,782.9813777934074
NRED HOA - 11 2017_subset.csv,2017,11,2261,84,571937,546.8356480607562,780.3463903425899
NRED HOA - 12 2017_subset.csv,2017,12,2266,81,572901,548.7232499460539,782.1797524601598
NRED HOA - 01 2018_subset.csv,2018,1,2265,80,574031,549.0421960050486,779.967839190077
NRED HOA - 02 2018_subset.csv,2018,2,2279,79,573628,548.6171024488425,776.9484028575768
NRED HOA - 03 2018_subset.csv,2018,3,2215,77,562612,553.8331405510348,779.3201992662911
NRED HOA - 04 2018_subset.csv,2018,4,2292,80,576231,550.1531999914719,782.4995192026822
NRED HOA - 05 2018_subset.csv,2018,5,2312,82,579339,552.4546221908264,782.9193889618251
NRED HOA - 06 2018_subset.csv,2018,6,2319,82,580457,550.8296110593238,769.4143227639847
NRED HOA - 07 2018_subset.csv,2018,7,2325,81,580880,551.6864377384669,770.4534232651605
NRED HOA - 08 2018_subset.csv,2018,8,2331,81,581953,552.825301860051,772.765455578893
NRED HOA - 09 2018_subset.csv,2018,9,2338,82,583324,549.616885012817,839.5197881864683
NRED HOA - 10 2018_subset.csv,2018,10,2350,83,585118,552.1158895427795,842.7000371075218
NRED HOA - 11 2018_subset.csv,2018,11,2357,81,587673,556.1548670503499,848.640617487052
NRED HOA - 12 2018_subset.csv,2018,12,2362,81,593686,557.4861929749972,867.6220367523479
NRED HOA - 01 2019_subset.csv,2019,1,2368,80,594856,557.7998025474799,866.0022861502189
NRED HOA - 02 2019_subset.csv,2019,2,2372,82,597235,553.1296832921465,859.010450770789
NRED HOA - 03 2019_subset.csv,2019,3,2379,81,598213,548.9765163550126,857.0674542954209
NRED HOA - 04 2019_subset.csv,2019,4,2391,83,601901,547.1707387297373,861.113418740653
NRED HOA - 05 2019_subset.csv,2019,5,2397,82,602446,548.2917476633025,865.0682728740256
NRED HOA - 06 2019_subset.csv,2019,6,2402,82,604364,544.6994282449887,849.5110773878338
NRED HOA - 07 2019_subset.csv,2019,7,2405,85,605342,539.3424129390864,843.9162392570224
NRED HOA - 08 2019_subset.csv,2019,8,2448,85,623755,524.7614432483232,812.8796508232007
NRED HOA - 09 2019_subset.csv,2019,9,2467,87,628163,523.0436163519788,803.4846136867277
NRED HOA - 10 2019_subset.csv,2019,10,2486,85,627779,529.9767191849581,786.1387633057121
NRED HOA - 11 2019_subset.csv,2019,11,2493,89,623491,517.378060897026,754.0366783280713
NRED HOA - 12 2019_subset.csv,2019,12,2504,89,623456,515.6478069593444,756.9530556666803
NRED HOA - 01 2020_subset.csv,2020,1,2508,87,616506,510.54170514004295,710.0943534720296
NRED HOA - 02 2020_subset.csv,2020,2,2512,86,615697,509.281563146578,713.1121230471362
NRED HOA - 03 2020_subset.csv,2020,3,2515,84,617162,504.9259117264603,706.9015123120275
NRED HOA - 04 2020_subset.csv,2020,4,2513,84,618647,507.71562882956897,712.0856041610232
NRED HOA - 05 2020_subset.csv,2020,5,2451,86,605493,500.06816591734093,719.7634398945848
NRED HOA - 06 2020_subset.csv,2020,6,2513,85,624597,500.2162254090114,725.6046350853147
NRED HOA - 07 2020_subset.csv,2020,7,2520,87,633285,498.86306374401624,719.7745521592744
NRED HOA - 08 2020_subset.csv,2020,8,2529,85,632132,497.37165135906287,675.3016500856999
NRED HOA - 09 2020_subset.csv,2020,9,2535,85,631760,495.994148975487,672.6297425673771
NRED HOA - 10 2020_subset.csv,2020,10,2541,85,648463,495.1104135390924,652.0867887645334
NRED HOA - 11 2020_subset.csv,2020,11,2539,89,648252,505.85889660485077,653.5151499850203
NRED HOA - 12 2020_subset.csv,2020,12,2551,88,652756,504.0797676440212,649.5107203997458
NRED HOA - 01 2021_subset.csv,2021,1,2524,81,647298,490.4611451146647,641.1603979346447
NRED HOA - 02 2021_subset.csv,2021,2,2564,79,658702,492.2958228781568,645.8920842513908
NRED HOA - 03 2021_subset.csv,2021,3,2504,80,647369,486.9971623676876,641.9198575769638
NRED HOA - 04 2021_subset.csv,2021,4,2577,79,661367,480.62100950032755,635.9154469072131
NRED HOA - 05 2021_subset.csv,2021,5,2585,79,656681,465.9780237869873,623.8399491335355
NRED HOA - 06 2021_subset.csv,2021,6,2502,81,638991,455.4821370721169,615.4513734582497
