file_name,year,month,num_associations,num_firms,total_units,HHI_association_weighted,HHI_unit_weighted
NRED HOA - 06 2015_subset.csv,2015,6,266,26,221202,2270.054836338967,6726.9218746958395
NRED HOA - 07 2015_subset.csv,2015,7,262,23,220669,2312.802284249171,6759.226895345814
NRED HOA - 08 2015_subset.csv,2015,8,265,25,221470,2356.5681737273053,6711.203988829047
NRED HOA - 09 2015_subset.csv,2015,9,264,25,220120,2347.623966942149,6785.072716849241
NRED HOA - 10 2015_subset.csv,2015,10,264,27,220114,2322.371441689623,6783.640241844638
NRED HOA - 11 2015_subset.csv,2015,11,262,26,219460,2309.3059844997388,6819.915059730592
NRED HOA - 12 2015_subset.csv,2015,12,259,25,219293,2317.0495371267575,6828.595591319628
NRED HOA - 01 2016_subset.csv,2016,1,260,25,219754,2320.710059171598,6802.87368605526
NRED HOA - 02 2016_subset.csv,2016,2,259,25,220023,2315.2606550289943,6787.732064685851
NRED HOA - 03 2016_subset.csv,2016,3,259,26,220567,2287.2348354973838,6757.610836384066
NRED HOA - 04 2016_subset.csv,2016,4,260,27,221069,2269.822485207101,6729.611259518192
NRED HOA - 05 2016_subset.csv,2016,5,259,28,220889,2258.0164279005985,6739.335736462126
NRED HOA - 06 2016_subset.csv,2016,6,258,28,220923,2246.8601646535662,6737.478213324952
NRED HOA - 07 2016_subset.csv,2016,7,253,27,220445,2232.654782921152,6764.470992053466
NRED HOA - 08 2016_subset.csv,2016,8,252,27,220341,2225.056689342404,6770.228662242935
NRED HOA - 09 2016_subset.csv,2016,9,248,26,220166,2220.6685744016645,6780.0284287830245
NRED HOA - 10 2016_subset.csv,2016,10,245,26,220036,2199.9167013744277,6787.2681928827515
NRED HOA - 11 2016_subset.csv,2016,11,242,26,219107,2156.2734785875286,6839.797054531928
NRED HOA - 12 2016_subset.csv,2016,12,242,24,219127,2165.4941602349563,6839.057551916305
NRED HOA - 01 2017_subset.csv,2017,1,240,23,218572,2194.097222222224,6872.554083458523
