file_name,year,month,num_associations,num_firms,total_units,HHI_association_weighted,HHI_unit_weighted
NRED HOA - 06 2015_subset.csv,2015,6,350,29,77461,959.0204081632651,1378.931225290737
NRED HOA - 07 2015_subset.csv,2015,7,349,29,77189,957.3813022881583,1381.1738483821812
NRED HOA - 08 2015_subset.csv,2015,8,348,29,77058,940.3487911216807,1328.6002080503617
NRED HOA - 09 2015_subset.csv,2015,9,350,29,77242,929.795918367347,1328.574323743637
NRED HOA - 10 2015_subset.csv,2015,10,351,29,77258,928.807396043863,1328.1566725695254
NRED HOA - 11 2015_subset.csv,2015,11,353,29,77632,926.9795921642898,1331.4979283854868
NRED HOA - 12 2015_subset.csv,2015,12,355,29,77941,904.5030747867489,1322.3582663304041
NRED HOA - 01 2016_subset.csv,2016,1,355,28,78690,917.6750644713353,1334.3255369517376
NRED HOA - 02 2016_subset.csv,2016,2,355,26,78605,927.5143820670503,1317.7865406759458
NRED HOA - 03 2016_subset.csv,2016,3,358,26,79144,932.5551636965138,1350.7082674590831
NRED HOA - 04 2016_subset.csv,2016,4,361,26,79575,937.9148410463396,1355.0259915398422
NRED HOA - 05 2016_subset.csv,2016,5,369,27,84360,905.0315435403676,1240.341271495348
NRED HOA - 06 2016_subset.csv,2016,6,375,28,84844,885.9733333333334,1225.0984410603817
NRED HOA - 07 2016_subset.csv,2016,7,376,29,84806,885.7231779085558,1231.9053361935546
NRED HOA - 08 2016_subset.csv,2016,8,379,30,85494,882.4082260635892,1235.5730095998385
NRED HOA - 09 2016_subset.csv,2016,9,379,31,85310,875.1679534394775,1241.6160024049038
NRED HOA - 10 2016_subset.csv,2016,10,379,31,85411,891.5978028557306,1247.4998322219374
NRED HOA - 11 2016_subset.csv,2016,11,374,32,85525,889.0731791014899,1238.9658570647223
NRED HOA - 12 2016_subset.csv,2016,12,380,32,86178,888.365650969529,1226.7001112261191
NRED HOA - 01 2017_subset.csv,2017,1,381,29,86334,894.5240112702448,1233.208470522081
NRED HOA - 02 2017_subset.csv,2017,2,382,28,86212,896.0828924645705,1231.6172518554051
NRED HOA - 03 2017_subset.csv,2017,3,384,29,86235,906.0329861111114,1233.7051643979623
NRED HOA - 04 2017_subset.csv,2017,4,374,29,81550,926.1059795819156,1287.7854896752488
NRED HOA - 05 2017_subset.csv,2017,5,386,30,84328,921.9039437300331,1303.0134725351468
NRED HOA - 06 2017_subset.csv,2017,6,345,30,75408,883.5958832178112,1230.8960290041555
NRED HOA - 07 2017_subset.csv,2017,7,389,31,84749,924.1942625280033,1291.3427472861288
NRED HOA - 08 2017_subset.csv,2017,8,390,31,84801,923.4714003944773,1288.1243023026166
NRED HOA - 09 2017_subset.csv,2017,9,391,31,84665,926.6684545496169,1285.625799296137
NRED HOA - 10 2017_subset.csv,2017,10,394,33,85271,910.8711896724985,1244.9350729291987
NRED HOA - 11 2017_subset.csv,2017,11,397,34,85427,889.4796616944463,1235.7417556263697
NRED HOA - 12 2017_subset.csv,2017,12,397,35,85375,891.0024173746423,1244.679155821466
NRED HOA - 01 2018_subset.csv,2018,1,399,35,86211,880.8361756521628,1251.869683740872
NRED HOA - 02 2018_subset.csv,2018,2,397,36,86585,876.5362384127809,1232.9739049738907
NRED HOA - 03 2018_subset.csv,2018,3,370,35,76706,834.0394448502556,1189.2697285395684
NRED HOA - 04 2018_subset.csv,2018,4,392,36,85199,856.5441482715535,1210.3947216229928
NRED HOA - 05 2018_subset.csv,2018,5,391,33,84505,880.2271047415963,1221.2060138493957
NRED HOA - 06 2018_subset.csv,2018,6,386,30,83577,898.4133802249725,1233.1521095291632
NRED HOA - 07 2018_subset.csv,2018,7,388,30,83956,904.1874800722711,1232.60578452869
NRED HOA - 08 2018_subset.csv,2018,8,392,31,86260,896.1109954185754,1177.9434101841584
NRED HOA - 09 2018_subset.csv,2018,9,393,31,86526,902.6280519783224,1188.959659956936
NRED HOA - 10 2018_subset.csv,2018,10,396,33,85827,894.2965003571064,1217.4580468279514
NRED HOA - 11 2018_subset.csv,2018,11,398,35,83997,886.846291760309,1265.092041525383
NRED HOA - 12 2018_subset.csv,2018,12,398,35,79927,873.210272467867,1207.8850234773322
NRED HOA - 01 2019_subset.csv,2019,1,397,36,81896,867.2728080249221,1183.4400794030935
NRED HOA - 02 2019_subset.csv,2019,2,403,36,82309,862.5753498882451,1169.2892508945129
NRED HOA - 03 2019_subset.csv,2019,3,408,36,82673,858.5640138408303,1163.7390792925164
NRED HOA - 04 2019_subset.csv,2019,4,420,36,82810,893.9909297052152,1167.9599526130246
NRED HOA - 05 2019_subset.csv,2019,5,421,34,82938,893.1906274507593,1160.1523862292493
NRED HOA - 06 2019_subset.csv,2019,6,420,37,83383,895.5782312925169,1193.358391297579
