year,month,HHI_Total_assoc,HHI_Total_units,num_associations_Total,total_units_Total,HHI_LV_assoc,HHI_LV_units,num_associations_LV,total_units_LV,HHI_Reno_assoc,HHI_Reno_units,num_associations_Reno,total_units_Reno,HHI_Other_assoc,HHI_Other_units,num_associations_Other,total_units_Other
2015,6,406.0402227638512,875.5128534943887,2710,815435,548.5769593207134,788.5256781047693,2094,516772,959.0204081632652,1378.931225290737,350,77461,2270.054836338967,6726.92187469584,266,221202
2015,7,407.7894681558768,876.4980473152799,2704,814695,549.3501077123505,786.3058769487403,2093,516837,957.3813022881584,1381.1738483821812,349,77189,2312.802284249171,6759.226895345814,262,220669
2015,8,399.324178200692,862.694859432286,2720,817715,536.3751222280063,774.1949003079858,2107,519187,940.3487911216808,1328.6002080503615,348,77058,2356.5681737273053,6711.203988829047,265,221470
2015,9,401.69225778546735,864.87000273114,2720,817869,540.2418270414472,776.7891560315528,2106,520507,929.795918367347,1328.574323743637,350,77242,2347.623966942149,6785.072716849241,264,220120
2015,10,401.027468434787,868.2366856945459,2723,822215,539.635760039463,791.5056866852657,2108,524843,928.807396043863,1328.1566725695254,351,77258,2322.371441689623,6783.640241844638,264,220114
2015,11,399.4406601676292,867.3123390750856,2724,822251,535.3582975803535,786.9047417673405,2109,525159,926.9795921642898,1331.4979283854868,353,77632,2309.3059844997388,6819.915059730592,262,219460
2015,12,408.89318251955615,874.8385655207887,2730,823379,546.0913518748147,793.7238588259572,2116,526145,904.5030747867488,1322.358266330404,355,77941,2317.049537126757,6828.595591319628,259,219293
2016,1,411.3258011365188,879.1002202467188,2734,824892,548.5616217324947,802.7847673386144,2119,526448,917.6750644713352,1334.3255369517376,355,78690,2320.710059171598,6802.87368605526,260,219754
2016,2,406.99734400123,862.5950844555545,2761,838027,543.4625800149212,796.6113345618201,2147,539399,927.5143820670504,1317.7865406759458,355,78605,2315.2606550289943,6787.732064685851,259,220023
2016,3,409.3791814587047,855.3903411768435,2782,840893,535.6154227714692,769.932765628136,2165,541182,932.5551636965138,1350.7082674590831,358,79144,2287.234835497384,6757.610836384066,259,220567
2016,4,412.46629100667,853.7568687123608,2797,842656,540.0787670307092,770.1439170797846,2176,542012,937.9148410463396,1355.0259915398422,361,79575,2269.822485207101,6729.611259518192,260,221069
2016,5,412.7147537024856,845.2968066746026,2805,836299,539.0615422562984,743.182708176801,2177,531050,905.0315435403676,1240.341271495348,369,84360,2258.0164279005985,6739.335736462126,259,220889
2016,6,412.9532300756069,857.2423276347056,2810,843776,539.4075828033886,785.1503791066029,2177,538009,885.9733333333334,1225.0984410603817,375,84844,2246.8601646535662,6737.478213324952,258,220923
2016,7,414.19710971825,860.7856507498321,2811,843875,541.4897826647657,791.3123524999532,2182,538624,885.7231779085558,1231.9053361935546,376,84806,2232.654782921152,6764.470992053466,253,220445
2016,8,413.7588635193008,858.6196013029347,2821,844732,541.2897979608431,785.8020268265391,2190,538897,882.4082260635892,1235.5730095998383,379,85494,2225.056689342404,6770.228662242935,252,220341
2016,9,411.0044898384796,853.9605324882094,2823,837865,535.2794118134975,762.2937275083033,2196,532389,875.1679534394775,1241.6160024049038,379,85310,2220.6685744016645,6780.0284287830245,248,220166
2016,10,411.1079820841092,859.7613571878745,2831,850202,534.0485816743651,791.5629165669731,2207,544755,891.5978028557306,1247.4998322219374,379,85411,2199.916701374428,6787.268192882752,245,220036
2016,11,407.1440815960276,858.0323352699671,2799,845744,528.787287096875,780.6787496064776,2183,541112,889.0731791014899,1238.9658570647225,374,85525,2156.2734785875286,6839.797054531928,242,219107
2016,12,413.2877027316283,857.1616181386565,2838,851164,537.9036935187479,787.381795428183,2216,545859,888.365650969529,1226.7001112261191,380,86178,2165.4941602349563,6839.057551916305,242,219127
2017,1,411.7462947711542,863.540343368085,2842,848842,533.1349621850777,795.7045899207917,2221,543936,894.5240112702448,1233.208470522081,381,86334,2194.097222222224,6872.554083458523,240,218572
2017,2,409.7839209064512,865.4843730837168,2848,848980,535.593557528078,806.1233934690847,2224,542383,896.0828924645705,1231.6172518554051,382,86212,2220.476743391846,6771.281940825587,242,220385
2017,3,413.0206004678652,861.2877829328283,2858,851706,538.4842524611004,799.1894317710897,2235,545813,906.0329861111114,1233.7051643979623,384,86235,2208.8198736016525,6811.830492014396,239,219658
2017,4,414.9119764830229,877.9062287909147,2784,839226,540.3570843045504,811.1506845297235,2177,538878,926.1059795819156,1287.7854896752488,374,81550,2239.3118311260105,6863.925168942364,233,218798
2017,5,414.2486275796947,842.7157936980084,2866,868381,540.5032713131383,784.744674176836,2245,564333,921.9039437300332,1303.0134725351468,386,84328,2187.9583521955637,6806.792136750914,235,219720
2017,6,414.484524195462,966.8360170409532,2188,755703,568.5780777355867,853.6952494366406,1638,466192,883.5958832178112,1230.8960290041557,345,75408,2156.0975609756097,7141.699715116311,205,214103
2017,7,415.4664003504093,844.057345984769,2878,870423,543.4798040186894,791.8742566722851,2252,566845,924.1942625280032,1291.3427472861288,389,84749,2212.786412433904,6860.054543490409,237,218829
2017,8,415.9487665106982,845.6674335739092,2879,870601,543.7677513968158,795.113934819655,2253,567351,923.4714003944772,1288.1243023026166,390,84801,2233.55357655846,6883.922092833949,236,218449
2017,9,418.52571929596286,843.2661872743013,2889,872269,548.6900952581392,794.3899048323248,2259,568700,926.6684545496169,1285.625799296137,391,84665,2237.530855552249,6856.57950052337,239,218904
2017,10,415.23128422888624,836.4697361649353,2894,873333,543.909017648119,782.9813777934074,2263,569018,910.8711896724984,1244.935072929199,394,85271,2222.400256369171,6848.950408210108,237,219044
2017,11,415.6859922820185,832.284060184407,2897,876721,546.8356480607562,780.3463903425899,2261,571937,889.4796616944463,1235.7417556263697,397,85427,2215.1222842737347,6830.299975171096,239,219357
2017,12,417.1985731272295,833.4794815667035,2900,877304,548.7232499460539,782.1797524601598,2266,572901,891.0024173746423,1244.679155821466,397,85375,2196.4072709145616,6848.537249638606,237,219028
2018,1,416.7517285119568,831.1563475341737,2906,880205,549.0421960050486,779.967839190077,2265,574031,880.8361756521628,1251.869683740872,399,86211,2157.981012225942,6792.960819268064,242,219963
2018,2,417.242916119347,826.9323392745943,2920,881963,548.6171024488425,776.9484028575768,2279,573628,876.5362384127809,1232.9739049738907,397,86585,2181.2012899758124,6695.300307561685,244,221750
2018,3,419.0598220622515,850.6416454240866,2822,858283,553.8331405510348,779.3201992662911,2215,562612,834.0394448502556,1189.2697285395684,370,76706,2135.519592657872,6849.210835925678,237,218965
2018,4,417.7644135193512,828.0536283357768,2926,882399,550.1531999914719,782.4995192026822,2292,576231,856.5441482715535,1210.3947216229928,392,85199,2138.515128748038,6738.447693221768,242,220969
2018,5,418.295040022448,825.3520337051087,2944,884467,552.4546221908264,782.9193889618251,2312,579339,880.2271047415963,1221.2060138493955,391,84505,2174.032816239389,6759.383508879834,241,220623
2018,6,415.5243943764334,815.5129926201846,2947,884683,550.8296110593238,769.4143227639847,2319,580457,898.4133802249725,1233.1521095291632,386,83577,2175.0563486100687,6758.140980904004,242,220649
2018,7,416.66723811065066,815.0473490052452,2958,885769,551.6864377384669,770.4534232651605,2325,580880,904.1874800722712,1232.60578452869,388,83956,2210.2457309454403,6742.818302301201,245,220933
2018,8,417.9486853481159,813.9450986732209,2968,889143,552.825301860051,772.765455578893,2331,581953,896.1109954185754,1177.9434101841584,392,86260,2210.2457309454403,6742.999208755407,245,220930
2018,9,416.3901748586661,845.1297323387341,2977,890871,549.616885012817,839.5197881864683,2338,583324,902.6280519783224,1188.959659956936,393,86526,2211.9769978187587,6737.981728305072,246,221021
2018,10,418.7671278844754,846.2090721527953,2990,892570,552.1158895427795,842.7000371075218,2350,585118,894.2965003571064,1217.4580468279514,396,85827,2240.6611126041385,6705.2228205434085,244,221625
2018,11,421.07555555555547,850.6414677182796,3000,893486,556.1548670503499,848.640617487052,2357,587673,886.846291760309,1265.092041525383,398,83997,2276.218242399001,6695.719611620562,245,221816
2018,12,419.9053655828728,845.9050504430444,3006,895106,557.4861929749972,867.6220367523479,2362,593686,873.210272467867,1207.8850234773322,398,79927,2281.710621984269,6713.554215158435,246,221493
2019,1,419.6251734981278,840.564919098208,3012,898738,557.7998025474799,866.0022861502189,2368,594856,867.2728080249221,1183.4400794030937,397,81896,2283.105771279648,6687.176990940043,247,221986
2019,2,415.5452120146063,835.1138849005786,3022,901640,553.1296832921465,859.010450770789,2372,597235,862.5753498882451,1169.2892508945129,403,82309,2334.245767017981,6681.438911445855,247,222096
2019,3,412.8777659866086,832.0005555686556,3035,903035,548.9765163550126,857.0674542954209,2379,598213,858.5640138408303,1163.7390792925164,408,82673,2315.296566077002,6678.251167557522,248,222149
2019,4,413.1716463086128,829.4668989722296,3051,905878,547.1707387297373,861.113418740653,2391,601901,893.9909297052152,1167.9599526130246,420,82810,2561.111111111112,6739.004620275161,240,221167
2019,5,415.1522918535605,828.2934146322069,3060,908333,548.2917476633025,865.0682728740256,2397,602446,893.1906274507593,1160.1523862292493,421,82938,2496.0726726316507,6639.850290463438,242,222949
2019,6,412.21204813945343,820.3456741850114,3066,910933,544.6994282449887,849.5110773878338,2402,604364,895.5782312925169,1193.358391297579,420,83383,2449.9462510077933,6626.032501228812,244,223186
